Reaction	Isozyme	Gene	Stoichiometry	Confidence
R_rxn00161_c	1	PN9614755	4	0
R_rxn01985_c	1	PN9601755	6	1
R_rxn01985_c	2	PN9615250	6	1
R_rxn00224_c	1	PN9609395	1	0
R_rxn01675_c	1	PN9612210	4	1
R_rxn06434_c	1	PN9604220	2	1
R_rxn04082_c	1	PN9616035	4	1
R_rxn09310_c	1	PN9607315	2	1
R_rxn00414_c	1	PN9611155	2	1
R_rxn00414_c	1	PN9611150	2	1
R_rxn05736_c	1	PN9611570	2	1
R_rxn05736_c	2	PN9609170	2	1
R_rxn05736_c	3	PN9605185	2	1
R_rxn05736_c	4	PN9605190	2	1
R_rxn00546_c	1	PN9611520	1	1
R_rxn05034_c	1	PN9614035	1	0
R_rxn00409_c	1	PN9610485	4	1
R_rxn00743_c	1	PN9603005	2	1
R_rxn00743_c	2	PN9622465	2	1
R_rxn00459_c	1	PN9601075	2	1
R_rxn01868_c	1	PN9619090	4	1
R_rxn00083_c	1	PN9614060	8	1
R_rxn00083_c	2	PN9620535	1	1
R_rxn00083_c	2	PN9620540	1	1
R_rxn05231_c	1	PN9604065	1	1
R_rxn05231_c	1	PN9604070	1	1
R_rxn00897_c	1	PN9606325	4	1
R_rxn03483_c	1	PN9611835	2	1
R_rxn02230_c	1	PN9607910	2	1
R_rxn00859_c	1	PN9607795	2	1
R_rxn05233_c	1	PN9604065	2	1
R_rxn05233_c	1	PN9604070	2	1
R_rxn02834_c	1	PN9607765	1	1
R_rxn00646_c	1	PN9601235	1	1
R_rxn04070_c	1	PN9601040	8	1
R_rxn01509_c	1	PN9612560	1	1
R_rxn01761_c	1	PN9610330	4	1
R_rxn04989_c	1	PN9622475	1	0
R_rxn08558_c	1	PN9601945	1	0
R_rxn00165_c	1	PN9604230	2	1
R_rxn00165_c	2	PN9617145	2	1
R_rxn00165_c	3	PN9622155	2	1
R_rxn10052_c	1	PN9609400	1	1
R_rxn02789_c	1	PN9611605	1	1
R_rxn02789_c	1	PN9611610	1	1
R_rxn05202_c	1	PN9612585	1	0
R_rxn05202_c	2	PN9617565	1	0
R_rxn00979_c	1	PN9619520	4	1
R_rxn00979_c	2	PN9621395	4	1
R_rxn21861_c	1	PN9603505	2	1
R_rxn21863_c	1	PN9607415	1	1
R_rxn01548_c	1	PN9601755	6	1
R_rxn01548_c	2	PN9615250	6	1
R_rxn08792_c	1	PN9615345	4	1
R_rxn08793_c	1	PN9615345	4	1
R_rxn00300_c	1	PN9604090	2	1
R_rxn00441_c	1	PN9609280	2	1
R_rxn01851_c	1	PN9619585	4	1
R_rxn00568_c	1	PN9619165	1	0
R_rxn00568_c	1	PN9619170	1	0
R_rxn00568_c	2	PN9620320	1	0
R_rxn00568_c	2	PN9620325	1	0
R_rxn08756_c	1	PN9610860	2	1
R_rxn00611_c	1	PN9614420	2	1
R_rxn00278_c	1	PN9607945	6	1
R_rxn01834_c	1	PN9616610	2	1
R_rxn02406_c	1	PN9621445	1	0
R_rxn02406_c	2	PN9621450	1	0
R_rxn02406_c	3	PN9619065	1	0
R_rxn02406_c	4	PN9619070	1	0
R_rxn01302_c	1	PN9611055	4	1
R_rxn01302_c	2	PN9614770	4	1
R_rxn12510_c	1	PN9600060	2	1
R_rxn00157_c	1	PN9608455	2	1
R_rxn00157_c	1	PN9608465	1	1
R_rxn01116_c	1	PN9614875	1	0
R_rxn09449_c	1	PN9611570	1	0
R_rxn09449_c	2	PN9609170	1	0
R_rxn09449_c	3	PN9605185	1	0
R_rxn09449_c	4	PN9605190	1	0
R_rxn00902_c	1	PN9611595	2	1
R_rxn00902_c	2	PN9619610	2	1
R_rxn03638_c	1	PN9613430	3	1
R_rxn01137_c	1	PN9612785	2	1
R_rxn01137_c	2	PN9617785	2	1
R_rxn00474_c	1	PN9603905	2	1
R_rxn00474_c	1	PN9603910	2	1
R_rxn00980_c	1	PN9614605	1	1
R_rxn01258_c	1	PN9608915	1	1
R_rxn01258_c	2	PN9609105	1	1
R_rxn05151_c	1	PN9621015	1	1
R_rxn03135_c	1	PN9607770	1	1
R_rxn03135_c	1	PN9607780	1	1
R_rxn00209_c	1	PN9616200	2	1
R_rxn01518_c	1	PN9607735	4	1
R_rxn06433_c	1	PN9608190	2	1
R_rxn10236_c	1	PN9614450	1	0
R_rxn05388_c	1	PN9603495	2	1
R_rxn05388_c	2	PN9603515	2	1
R_rxn05388_c	3	PN9620380	2	1
R_rxn05388_c	4	PN9603515	2	1
R_rxn04597_c	1	PN9606440	1	1
R_rxn04597_c	1	PN9606450	1	1
R_rxn04597_c	1	PN9606450	1	1
R_rxn04597_c	1	PN9606460	1	1
R_rxn01446_c	1	PN9601755	6	1
R_rxn01446_c	2	PN9615250	6	1
R_rxn03970_c	1	PN9609725	2	1
R_rxn00242_c	1	PN9612570	1	0
R_rxn05651_c	1	PN9603460	1	0
R_rxn05651_c	2	PN9615940	1	0
R_rxn02264_c	1	PN9613860	1	1
R_rxn04704_c	1	PN9612790	1	1
R_rxn00394_c	1	PN9606580	3	1
R_rxn00394_c	2	PN9606615	3	1
R_rxn01538_c	1	PN9608570	1	0
R_rxn05682_c	1	PN9621870	1	0
R_rxn03062_c	1	PN9611600	2	1
R_rxn10265_c	1	PN9610085	1	0
R_rxn00527_c	1	PN9619510	2	0
R_rxn01019_c	1	PN9600575	3	1
R_rxn39451_c	1	PN9607800	2	1
R_rxn00077_c	1	PN9610255	6	0
R_rxn05578_c	1	PN9601965	1	0
R_rxn00337_c	1	PN9600270	4	1
R_rxn00337_c	2	PN9601145	4	1
R_rxn00337_c	3	PN9611055	4	1
R_rxn00337_c	4	PN9614770	4	1
R_rxn00060_c	1	PN9613865	1	1
R_rxn02842_c	1	PN9616540	4	0
R_rxn00835_c	1	PN9607825	2	1
R_rxn00835_c	2	PN9620835	2	1
R_rxn01512_c	1	PN9610485	4	1
R_rxn05560_c	1	PN9620905	1	0
R_rxn05560_c	1	PN9609520	1	0
R_rxn05560_c	1	PN9620915	1	0
R_rxn09296_c	1	PN9603210	1	0
R_rxn09296_c	2	PN9613780	1	0
R_rxn09296_c	3	PN9621775	1	0
R_rxn09296_c	4	PN9621780	1	0
R_rxn01799_c	1	PN9601755	6	1
R_rxn01799_c	2	PN9615250	6	1
R_rxn00124_c	1	PN9615645	2	1
R_rxn00124_c	2	PN9621920	2	1
R_rxn01521_c	1	PN9607525	2	1
R_rxn01521_c	2	PN9609695	2	1
R_rxn04648_c	1	PN9618345	2	1
R_rxn05608_c	1	PN9623315	1	1
R_rxn05608_c	1	PN9623320	1	1
R_rxn05608_c	1	PN9623325	1	1
R_rxn05608_c	1	PN9614975	1	1
R_rxn01201_c	1	PN9619075	1	0
R_rxn01201_c	2	PN9621440	1	0
R_rxn02285_c	1	PN9600050	1	1
R_rxn12641_c	1	PN9614690	2	0
R_rxn12641_c	2	PN9600615	2	0
R_rxn12641_c	3	PN9610490	2	0
R_rxn12641_c	4	PN9605595	2	0
R_rxn05958_c	1	PN9601245	2	1
R_rxn00361_c	1	PN9611810	1	0
R_rxn00361_c	2	PN9612315	1	0
R_rxn00575_c	1	PN9602870	1	0
R_rxn00575_c	2	PN9602885	1	0
R_rxn02288_c	1	PN9600140	2	1
R_rxn02161_c	1	PN9610325	1	1
R_rxn01388_c	1	PN9601430	1	1
R_rxn08126_c	1	PN9615600	1	1
R_rxn03167_c	1	PN9603005	2	1
R_rxn03167_c	2	PN9622465	2	1
R_rxn01115_c	1	PN9605290	2	1
R_rxn01115_c	2	PN9621665	2	1
R_rxn10269_c	1	PN9610085	1	1
R_rxn10207_c	1	PN9614040	1	1
R_rxn02000_c	1	PN9612215	2	1
R_rxn00938_c	1	PN9617265	1	0
R_rxn02369_c	1	PN9618335	8	1
R_rxn00872_c	1	PN9619040	4	1
R_rxn00872_c	2	PN9621475	4	1
R_rxn08129_c	1	PN9615600	2	1
R_rxn03611_c	1	PN9618345	2	1
R_rxn00173_c	1	PN9603360	6	1
R_rxn00173_c	2	PN9622000	6	1
R_rxn00615_c	1	PN9601955	2	1
R_rxn00679_c	1	PN9605350	2	1
R_rxn03130_c	1	PN9607750	2	1
R_rxn03841_c	1	PN9603520	2	1
R_rxn10205_c	1	PN9614040	1	1
R_rxn01192_c	1	PN9621165	2	0
R_rxn00766_c	1	PN9617675	1	0
R_rxn00213_c	1	PN9600290	4	1
R_rxn00213_c	2	PN9612260	4	1
R_rxn00704_c	1	PN9609320	1	1
R_rxn00802_c	1	PN9614810	1	0
R_rxn06538_c	1	PN9613540	1	1
R_rxn10270_c	1	PN9610085	1	1
R_rxn01466_c	1	PN9610075	6	1
R_rxn03146_c	1	PN9611180	1	1
R_rxn02341_c	1	PN9612450	3	1
R_rxn00566_c	1	PN9607605	4	1
R_rxn00566_c	2	PN9622110	4	1
R_rxn14138_c	1	PN9605830	2	0
R_rxn03052_c	1	PN9603850	1	1
R_rxn03052_c	2	PN9619000	1	1
R_rxn03108_c	1	PN9616705	1	1
R_rxn08128_c	1	PN9615600	1	1
R_rxn00101_c	1	PN9606185	1	1
R_rxn00101_c	1	PN9606180	1	1
R_rxn00101_c	1	PN9606175	1	1
R_rxn00101_c	1	PN9606170	1	1
R_rxn00101_c	1	PN9606165	1	1
R_rxn00101_c	1	PN9606160	1	1
R_rxn05605_c	1	PN9620350	1	0
R_rxn00543_c	1	PN9622385	2	1
R_rxn00543_c	2	PN9603185	2	1
R_rxn00543_c	3	PN9604715	2	1
R_rxn00543_c	4	PN9604765	2	1
R_rxn00543_c	5	PN9621525	2	0
R_rxn00543_c	6	PN9622510	2	0
R_rxn10042_c	1	PN9613390	1	1
R_rxn10042_c	1	PN9613395	2	1
R_rxn10042_c	1	PN9613400	10	1
R_rxn10042_c	1	PN9613410	3	1
R_rxn10042_c	1	PN9613420	3	1
R_rxn10042_c	1	PN9613415	1	1
R_rxn10042_c	1	PN9613405	1	1
R_rxn10042_c	1	PN9613425	1	1
R_rxn10042_c	1	PN9622310	1	1
R_rxn10042_c	1	PN9613395	2	1
R_rxn10042_c	1	PN9622305	10	1
R_rxn10042_c	1	PN9622295	3	1
R_rxn10042_c	1	PN9622325	3	1
R_rxn10042_c	1	PN9613415	1	1
R_rxn10042_c	1	PN9613405	1	1
R_rxn10042_c	1	PN9622320	1	1
R_rxn08806_c	1	PN9613925	1	1
R_rxn00701_c	1	PN9615930	1	1
R_rxn00701_c	2	PN9622135	1	1
R_rxn00781_c	1	PN9603030	4	1
R_rxn03932_c	1	PN9604750	6	0
R_rxn03932_c	1	PN9604705	1	0
R_rxn03932_c	2	PN9604720	1	0
R_rxn00048_c	1	PN9606000	3	1
R_rxn00048_c	2	PN9610110	3	1
R_rxn05177_c	1	PN9611730	5	1
R_rxn05177_c	1	PN9611720	5	1
R_rxn05177_c	1	PN9611725	5	1
R_rxn08901_c	1	PN9606470	1	1
R_rxn08901_c	2	PN9619465	1	1
R_rxn10232_c	1	PN9614450	2	1
R_rxn00690_c	1	PN9620840	4	1
R_rxn01143_c	1	PN9607735	4	1
R_rxn01575_c	1	PN9621010	2	1
R_rxn00649_c	1	PN9609510	2	1
R_rxn01629_c	1	PN9614040	4	1
R_rxn00132_c	1	PN9607525	1	1
R_rxn00132_c	2	PN9609695	1	1
R_rxn00132_c	3	PN9620755	1	1
R_rxn04786_c	1	PN9605220	6	1
R_rxn06449_c	1	PN9600605	1	1
R_rxn00109_c	1	PN9607575	1	1
R_rxn08843_c	1	PN9613925	1	1
R_rxn00192_c	1	PN9602020	6	1
R_rxn00708_c	1	PN9607525	1	1
R_rxn00708_c	2	PN9609695	1	1
R_rxn00708_c	3	PN9620755	1	1
R_rxn10806_c	1	PN9621430	8	1
R_rxn10806_c	2	PN9621420	8	1
R_rxn10806_c	3	PN9608165	8	1
R_rxn10806_c	4	PN9621415	8	1
R_rxn10806_c	5	PN9608170	8	1
R_rxn10806_c	6	PN9621425	8	1
R_rxn00283_c	1	PN9614910	2	1
