Reaction;Protein;Stoichiometry;Subunit;Notes;RHEA_ID;Equation;KEGG
R05629;WP_014230799.1;2;;;21923;UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine+di-trans,octa-cis-undecaprenylphosphate<=>Mur2Ac(oyl-L-Ala-gamma-D-Glu-L-Lys-D-Ala-D-Ala)-di-trans,octa-cis-undecaprenyldiphosphate+UMP;UDPMurNAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala) + di-trans,poly-cis-Undecaprenyl phosphate <-> MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol + UMP
R05630;WP_014230799.1;2;;;28389;UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine+di-trans,octa-cis-undecaprenylphosphate<=>di-trans-octa-cis-undecaprenyldiphospho-N-acetyl-alpha-D-muramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine+UMP;di-trans,poly-cis-Undecaprenyl phosphate + UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine <-> UMP + Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine
R05633;WP_020333970.1;2;;;13432;2-C-methyl-D-erythritol4-phosphate+CTP+H(+)<=>4-CDP-2-C-methyl-D-erythritol+diphosphate;2-C-Methyl-D-erythritol 4-phosphate + CTP <-> Diphosphate + 4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol
R05634;WP_020333321.1;2;;;18440;4-CDP-2-C-methyl-D-erythritol+ATP<=>4-CDP-2-C-methyl-D-erythritol2-phosphate+ADP+H(+);4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol + ATP <-> ADP + 2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol
R05636;WP_014231016.1;2;;;12608;D-glyceraldehyde3-phosphate+pyruvate+H(+)<=>1-deoxy-D-xylulose5-phosphate+CO2;Pyruvate + D-Glyceraldehyde 3-phosphate -> 1-Deoxy-D-xylulose 5-phosphate + CO2
R05637;WP_014232982.1;3;;;23867;4-CDP-2-C-methyl-D-erythritol2-phosphate<=>2-C-methyl-D-erythritol2,4-cyclicdiphosphate+CMP;2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol <- 2-C-Methyl-D-erythritol 2,4-cyclodiphosphate + CMP
R05644;WP_014230770.1;2;;;27468;D-glycero-beta-D-manno-heptose1-phosphate+ATP+H(+)<=>ADP-D-glycero-beta-D-manno-heptose+diphosphate;D-glycero-beta-D-manno-Heptose 1-phosphate + ATP <-> Diphosphate + ADP-D-glycero-beta-D-manno-heptose
R05645;WP_014232735.1;4;;;27489;2D-sedoheptulose7-phosphate=D-glycero-alpha-D-manno-heptose7-phosphate+D-glycero-beta-D-manno-heptose7-phosphate;Sedoheptulose 7-phosphate <-> D-glycero-beta-D-manno-Heptose 7-phosphate
R05646;WP_014230770.1;2;;;27476;D-glycero-beta-D-manno-heptose7-phosphate+ATP<=>D-glycero-beta-D-manno-heptose1,7-bisphosphate+ADP+H(+);D-glycero-beta-D-manno-Heptose 7-phosphate + ATP <-> ADP + D-glycero-beta-D-manno-Heptose 1,7-bisphosphate
R05647;WP_020333715.1;1;;;28521;D-glycero-beta-D-manno-heptose1,7-bisphosphate+H2O<=>D-glycero-beta-D-manno-heptose1-phosphate+phosphate;D-glycero-beta-D-manno-Heptose 1,7-bisphosphate + H2O -> D-glycero-beta-D-manno-Heptose 1-phosphate + Orthophosphate
R05651;WP_020335198.1;1;;;24207;acetylphosphate+sulfite+H(+)<=>sulfoacetaldehyde+phosphate;Sulfoacetaldehyde + Orthophosphate <- Acetyl phosphate + Sulfite
R05652;WP_020335007.1;1;;;10423;taurine+pyruvate<=>sulfoacetaldehyde+L-alanine;Pyruvate + Taurine <-> L-Alanine + Sulfoacetaldehyde
