Reaction	Condition	LB	UB	RID	System	Name	Flux
PPP9_v17	Alanine	-0.09747698213788158	-0.003009292412955222	17053	PPP	TALA	-0.06270434212964246
PPP10_v18	Ribose	1.518663381421693	2.1523644181291366	17277	PPP	EDD	1.8427911539394721
PPP10_v18	Glucose	0.1041493453228064	0.4189149688594895	17277	PPP	EDD	0.26059069433624327
PPP10_v18	Glycerol	0.1512589079833511	6.258039380953838	17277	PPP	EDD	1.4025224353080035
PPP10_v18	Glutamate	0.038313943377375634	0.25269479676708717	17277	PPP	EDD	0.15637179661793912
PPP10_v18	Succinate	0.06879268342119609	0.18714051154376624	17277	PPP	EDD	0.12950161900809457
PPP10_v18	Alanine	0.18011393766783568	0.30126048666787353	17277	PPP	EDD	0.23961325870154276
PPP11_v19	Ribose	1.5186633814216939	2.152364418129138	17089	PPP	EDA	1.8427911539394735
PPP11_v19	Glucose	0.1041493453228063	0.4189149688594891	17089	PPP	EDA	0.2605906943362417
PPP11_v19	Glycerol	0.1512589079833511	6.25803938095384	17089	PPP	EDA	1.4025224353080052
PPP11_v19	Glutamate	0.03831394337737565	0.2526947967670872	17089	PPP	EDA	0.15637179661794076
PPP11_v19	Succinate	0.06879268342119611	0.18714051154376624	17089	PPP	EDA	0.12950161900809704
PPP11_v19	Alanine	0.18011393766783587	0.3012604866678738	17089	PPP	EDA	0.23961325870154426
TCA3_v22	Ribose	5.143745247117025	7.746248205561043	10228	TCA	ACONTa	6.439603903969358
TCA3_v22	Ribose	5.143745247117025	7.746248205561043	22144	TCA	ACONTb	6.439603903969358
TCA3_v22	Glucose	3.5353162223188024	4.197874478821895	10228	TCA	ACONTa	3.880784925155202
TCA3_v22	Glucose	3.5353162223188024	4.197874478821895	22144	TCA	ACONTb	3.880784925155202
TCA3_v22	Glycerol	1.921701960756974	2.897000426102507	10228	TCA	ACONTa	2.3437754865344758
TCA3_v22	Glycerol	1.921701960756974	2.897000426102507	22144	TCA	ACONTb	2.3437754865344758
TCA3_v22	Glutamate	0.4207135600380258	0.6676044991000625	10228	TCA	ACONTa	0.558443958648836
TCA3_v22	Glutamate	0.4207135600380258	0.6676044991000625	22144	TCA	ACONTb	0.558443958648836
TCA3_v22	Succinate	7.486144792210635	7.749987509375091	10228	TCA	ACONTa	7.607554188604599
TCA3_v22	Succinate	7.486144792210635	7.749987509375091	22144	TCA	ACONTb	7.607554188604599
TCA3_v22	Alanine	11.318511510798531	12.210879475419922	10228	TCA	ACONTa	11.746325546199357
TCA3_v22	Alanine	11.318511510798531	12.210879475419922	22144	TCA	ACONTb	11.746325546199357
TCA5_v24	Ribose	2.8686731550055935	5.212033074028458	27786	TCA	AKGDH	3.9968456624635627
TCA5_v24	Glucose	1.527586653363972	2.180089752106664	27786	TCA	AKGDH	1.8578725552662125
TCA5_v24	Glycerol	0.8816837100656658	1.816278912593559	27786	TCA	AKGDH	1.285124757900896
TCA5_v24	Glutamate	13.84943864174239	14.809238129339814	27786	TCA	AKGDH	14.270178378229973
TCA5_v24	Succinate	5.533792582658508	6.1763784789399	27786	TCA	AKGDH	5.7528491297515325
TCA5_v24	Alanine	9.706723721803385	11.047396121734744	27786	TCA	AKGDH	10.37933443215592
GOX2_v30	Ribose	1.1185349171307464	1.5956179692849628	18181	MISC	MALS	1.3462038697310037
GOX2_v30	Glucose	0.004514283922981255	0.1589914285585292	18181	MISC	MALS	0.06255898975454088
GOX2_v30	Glycerol	0.001773954730861504	0.09172660697465178	18181	MISC	MALS	0.030914311746682483
GOX2_v30	Glutamate	0.02707332651890892	0.5534217595225887	18181	MISC	MALS	0.25949892583132256
GOX2_v30	Succinate	0.04251634968665696	0.6505389546951079	18181	MISC	MALS	0.4700344727273471
GOX2_v30	Alanine	0.02868046745231609	0.5643458813071391	18181	MISC	MALS	0.27730542203253405
AC1_v35	Ribose	-0.444295933712099	-0.34494201539660657	19521	MISC	PTAr	-0.39822739131358437
AC1_v35	Ribose	0.34494201539660657	0.444295933712099	11352	MISC	ACKr	0.39822739131358437
AC1_v35	Glucose	14.102170724060443	15.45384910547282	19521	MISC	PTAr	14.779660167834281
AC1_v35	Glucose	-15.45384910547282	-14.102170724060443	11352	MISC	ACKr	-14.779660167834281
AC1_v35	Glycerol	-0.28728947295871515	-0.256255046273181	19521	MISC	PTAr	-0.2720952167664959
