rhea,kegg
11218,R04267
11219,R04267
11220,R03805
11221,R03805
11222,R03805
11223,R03805
11224,R01150
11225,R01150
11226,R01150
11227,R01150
11228,R03827
11229,R03827
11230,R03827
11231,R03827
11232,R00507
11233,R00507
11234,R00507
11235,R00507
11236,R01919
11237,R01919
11238,R01919
11239,R01919
11240,R00616
11241,R00616
11242,R00616
11243,R00616
11248,R05797
11249,R05797
11250,R05797
11251,R05797
11252,R01485
11253,R01485
11254,R01485
11255,R01485
11256,R05325
11257,R05325
11258,R05325
11259,R05325
11260,R07172
11261,R07172
11262,R07172
11263,R07172
11264,R07171
11265,R07171
11266,R07171
11267,R07171
11268,R01874
11269,R01874
11270,R01874
11271,R01874
11272,R10625
11273,R10625
11274,R10625
11275,R10625
23664,R07155
23665,R07155
23666,R07155
23667,R07155
11276,R00083
11277,R00083
11278,R00083
11279,R00083
11280,R01669
11281,R01669
11282,R01669
11283,R01669
11284,R02969
11285,R02969
11286,R02969
11287,R02969
11288,R04768
11289,R04768
11290,R04768
11291,R04768
11292,R03736
11293,R03736
11294,R03736
11295,R03736
11296,R00264
11297,R00264
11298,R00264
11299,R00264
11888,R00634
11889,R00634
11890,R00634
11891,R00634
11300,R03497
11301,R03497
11302,R03497
11303,R03497
11304,R00776
11305,R00776
11306,R00776
11307,R00776
11308,R00742
11309,R00742
11310,R00742
11311,R00742
11312,R05558
11313,R05558
11314,R05558
11315,R05558
11316,R02827
11317,R02827
11318,R02827
11319,R02827
11320,R01473
11321,R01473
11322,R01473
11323,R01473
11328,R01659
11329,R01659
11330,R01659
11331,R01659
11332,R00435
11333,R00435
11334,R00435
11335,R00435
11336,R04013
11337,R04013
11338,R04013
11339,R04013
11340,R03178
11341,R03178
11342,R03178
11343,R03178
11344,R02599
11345,R02599
11346,R02599
11347,R02599
11352,R00315
11353,R00315
11354,R00315
11355,R00315
11364,R00199
11365,R00199
11366,R00199
11367,R00199
11372,R00483
11373,R00483
11374,R00483
11375,R00483
11376,R03860
11377,R03860
11378,R03860
11379,R03860
11384,R03022
11385,R03022
11386,R03022
11387,R03022
11388,R03203
11389,R03203
11390,R03203
11391,R03203
11392,R03430
11393,R03430
11394,R03430
11395,R03430
11396,R04235
11397,R04235
11398,R04235
11399,R04235
11400,R12012
11401,R12012
11402,R12012
11403,R12012
11404,R01385
11405,R01385
11406,R01385
11407,R01385
11408,R01732
11409,R01732
11410,R01732
11411,R01732
11412,R03503
11413,R03503
11414,R03503
11415,R03503
11416,R00049
11417,R00049
11418,R00049
11419,R00049
11420,R07373
11421,R07373
11422,R07373
11423,R07373
11424,R04023
11425,R04023
11426,R04023
11427,R04023
11428,R01522
11429,R01522
11430,R01522
11431,R01522
11432,R06824
11433,R06824
11434,R06824
11435,R06824
11436,R00081
11437,R00081
11438,R00081
11439,R00081
11440,R07191
11441,R07191
11442,R07191
11443,R07191
11444,R03517
11445,R03517
11446,R03517
11447,R03517
11448,R03043
11449,R03043
11450,R03043
11451,R03043
11452,R03556
11453,R03556
11454,R03556
11455,R03556
11456,R05983
11457,R05983
11458,R05983
11459,R05983
11460,R05804
11461,R05804
11462,R05804
11463,R05804
11464,R01110
11465,R01110
11466,R01110
11467,R01110
11468,R02200
11469,R02200
11470,R02200
11471,R02200
11472,R01264
11473,R01264
11474,R01264
11475,R01264
11476,R08658
11477,R08658
11478,R08658
11479,R08658
11480,R01628
11481,R01628
11482,R01628
11483,R01628
11484,R02161
11485,R02161
11486,R02161
11487,R02161
11488,R02366
11489,R02366
11490,R02366
11491,R02366
11492,R06530
11493,R06530
11494,R06530
11495,R06530
11496,R03131
11497,R03131
11498,R03131
11499,R03131
11500,R03350
11501,R03350
11502,R03350
11503,R03350
11504,R03112
11505,R03112
11506,R03112
11507,R03112
11508,R04073
11509,R04073
11510,R04073
11511,R04073
11512,R03558
11513,R03558
11514,R03558
11515,R03558
11516,R00407
11517,R00407
11518,R00407
11519,R00407
11520,R02179
11521,R02179
11522,R02179
11523,R02179
11524,R02609
11525,R02609
11526,R02609
11527,R02609
11528,R05220
11529,R05220
11530,R05220
11531,R05220
11532,R00366
11533,R00366
11534,R00366
11535,R00366
11536,R08212
11537,R08212
11538,R08212
11539,R08212
11540,R02651
11541,R02651
11542,R02651
11543,R02651
11544,R03421
11545,R03421
11546,R03421
11547,R03421
11548,R04490
11549,R04490
11550,R04490
11551,R04490
11552,R04043
11553,R04043
11554,R04043
11555,R04043
11556,R01921
11557,R01921
11558,R01921
11559,R01921
19265,R02395
19266,R02395
19267,R02395
19268,R02395
11560,R00813
11561,R00813
11562,R00813
11563,R00813
11564,R10832
11565,R10832
11566,R10832
11567,R10832
11568,R01670
11569,R01670
11570,R01670
11571,R01670
11572,R03978
11573,R03978
11574,R03978
11575,R03978
11576,R00619
11577,R00619
11578,R00619
11579,R00619
11580,R01802
11581,R01802
11582,R01802
11583,R01802
11584,R00672
11585,R00672
11586,R00672
11587,R00672
11588,R05151
11589,R05151
11590,R05151
11591,R05151
11592,R11187
11593,R11187
11594,R11187
11595,R11187
