rhea,rheaDir,metacyc
10408,10410,METACYC:2.3.1.154-RXN
10412,10413,METACYC:RXN0-1441
10416,10417,METACYC:RXN-863
10424,10425,METACYC:HIPPURATE-HYDROLASE-RXN
10428,10429,METACYC:ARACHIDONATE-12-LIPOXYGENASE-RXN
10432,10433,METACYC:3.5.1.29-RXN
10436,10437,METACYC:BA7DEHYDRA-RXN
10440,10441,METACYC:GLUCONOLACT-RXN
10444,10445,METACYC:RXN-8700
10448,10449,METACYC:RXN-8000
10452,10453,METACYC:RXN-11666
10456,10457,METACYC:MALTACETYLTRAN-RXN
10464,10465,METACYC:CHITIN-DEACETYLASE-RXN
10468,10469,METACYC:PHOSPHOKETOLASE-RXN
10472,10473,METACYC:23-DIMETHYLMALATE-LYASE-RXN
10484,10485,METACYC:N-FERULOYLGLYCINE-DEACYLASE-RXN
10488,10489,METACYC:5-FORMYL-THF-CYCLO-LIGASE-RXN
10492,10493,METACYC:RXN-5647
10520,10521,METACYC:RXN-1225
10524,10525,METACYC:RXN-7774
10528,10529,METACYC:1.14.13.56-RXN
10532,10533,METACYC:TRYPSYN-RXN
10536,10537,METACYC:CHONDRO-6-SULFATASE-RXN
10540,10541,METACYC:H2NEOPTERINALDOL-RXN
10548,10549,METACYC:ARGININE-2-MONOOXYGENASE-RXN
10552,10553,METACYC:PYRANOSE-OXIDASE-RXN
10556,10557,METACYC:2.5.1.66-RXN
10560,10561,METACYC:3.5.4.22-RXN
10564,10565,METACYC:4-METHYLOXALOACETATE-ESTERASE-RXN
10568,10569,METACYC:LUTEOLIN-7-O-GLUCORONOSYLTRANSFERASE-RXN
10576,10577,METACYC:2.7.7.57-RXN
10580,10581,METACYC:FOLYLPOLYGLUTAMATESYNTH-RXN
10584,10585,METACYC:RXN-3142
10588,10589,METACYC:MYCOCEROSATE-SYNTHASE-RXN
10592,10593,METACYC:RXN-7783
10596,10597,METACYC:2.7.10.1-RXN
10600,10601,METACYC:PROSTAGLANDIN-D-SYNTHASE-RXN
10604,10605,METACYC:PHOSPHOLIPASE-C-RXN
10608,10609,METACYC:TRANS-CINNAMATE-4-MONOOXYGENASE-RXN
10616,10618,METACYC:RXN-1484
10648,10649,METACYC:1.14.13.66-RXN
