Protein,Stoichiometry,Isozyme,Rhea
PN96_RS01130,1,C,29367
PN96_RS21635,1,E,29367
PN96_RS07630,1,D,29371
PN96_RS09825,1,A,29371
PN96_RS21040,1,B,29371
PN96_RS01130,1,C,29371
PN96_RS21635,1,E,29371
PN96_RS07630,1,D,29379
PN96_RS09825,1,A,29379
PN96_RS21040,1,B,29379
PN96_RS01130,1,C,29379
PN96_RS21635,1,E,29379
PN96_RS01095,2,A,29391
PN96_RS01095,2,A,29395
PN96_RS01095,2,A,29399
PN96_RS10160,1,A,30075
PN96_RS05685,1,A,30187
PN96_RS11710,4,B,30295
PN96_RS03630,4,A,30295
PN96_RS10630,4,A,30347
PN96_RS06910,1,A,30367
PN96_RS18935,1,A,30547
PN96_RS03580,2,A,30655
PN96_RS22505,1,C,30699
PN96_RS23215,1,D,30699
PN96_RS05100,1,A,30699
PN96_RS17305,1,B,30699
PN96_RS08775,1,A,30707
PN96_RS11710,4,B,30727
PN96_RS03630,4,A,30727
PN96_RS02445,1,A,30731
PN96_RS02445,1,A,30747
PN96_RS17240,6,A,30759
PN96_RS16420,2,A,30775
PN96_RS19780,1,A,30783
PN96_RS22790,1,A,30787
PN96_RS11710,4,B,30791
PN96_RS03630,4,A,30791
PN96_RS19780,1,A,30803
PN96_RS07630,1,D,30815
PN96_RS09825,1,A,30815
PN96_RS21040,1,B,30815
PN96_RS01130,1,C,30815
PN96_RS21635,1,E,30815
PN96_RS19970,2,A,30871
PN96_RS01645,2,A,30887
PN96_RS14975,4,A,30931
PN96_RS07630,1,D,30935
PN96_RS09825,1,A,30935
PN96_RS21040,1,B,30935
PN96_RS01130,1,C,30935
PN96_RS21635,1,E,30935
PN96_RS10630,4,A,30939
PN96_RS02445,1,A,30943
PN96_RS02445,1,A,31039
PN96_RS18935,1,A,31075
PN96_RS18955,1,A,31087
PN96_RS18955,1,A,31091
PN96_RS11815,1,A,31103
PN96_RS06775,1,A,31107
PN96_RS18955,1,A,31111
PN96_RS00055,1,A,31115
PN96_RS02460,1,A,31131
PN96_RS03010,2,A,31135
PN96_RS13345,4,A,31139
PN96_RS18935,1,A,31163
PN96_RS18935,1,A,31171
PN96_RS18955,1,A,31183
PN96_RS18935,1,A,31191
PN96_RS18935,1,A,31199
PN96_RS18955,1,A,31203
PN96_RS02445,1,A,31207
PN96_RS11355,2,A,31227
PN96_RS13345,4,A,31255
PN96_RS18905,1,A,31747
PN96_RS18905,1,A,31755
PN96_RS18940,1,A,31843
PN96_RS21980,1,A,32263
PN96_RS11760,2,A,32271
PN96_RS11795,2,A,32275
PN96_RS14040,5,C,32459
PN96_RS20610,1,A,32459
PN96_RS11995,1,D,32459
PN96_RS19430,1,B,32459
PN96_RS01515,1,A,32527
PN96_RS11760,2,A,32715
PN96_RS05370,2,A,33023
PN96_RS21960,2,B,33023
PN96_RS07250,1,A,33791
PN96_RS07900,2,A,33799
PN96_RS07900,2,A,33803
PN96_RS06390,1,A,33867
PN96_RS04075,1,A,34095
PN96_RS04075,1,A,34099
PN96_RS04070,1,A,34111
PN96_RS04070,1,A,34115
PN96_RS02525,4,A,34171
PN96_RS19840,4,B,34171
PN96_RS06355,2,A,34191
PN96_RS21230,1,A,34767
PN96_RS18955,1,A,34799
PN96_RS18945,1,A,34851
PN96_RS11310,4,A,35323
PN96_RS11310,4,A,35331
PN96_RS14090,1,A,35587
PN96_RS17495,1,A,36163
PN96_RS17015,4,A,36371
PN96_RS05440,1,A,37751
PN96_RS05360,1,A,38215
PN96_RS21965,1,B,38215
PN96_RS17365,1,C,40663
PN96_RS22460,1,A,40663
PN96_RS04280,1,B,40663
PN96_RS17895,1,A,40951
PN96_RS03565,2,B,41800
PN96_RS02915,2,A,41800
PN96_RS05720,2,B,41808
PN96_RS02355,1,A,41808
PN96_RS03565,2,B,41820
PN96_RS02915,2,A,41820
PN96_RS05720,2,B,41828
PN96_RS02355,1,A,41828
PN96_RS03565,2,B,41836
PN96_RS02915,2,A,41836
PN96_RS05720,2,B,41844
PN96_RS02355,1,A,41844
PN96_RS03565,2,B,41852
PN96_RS02915,2,A,41852
PN96_RS05720,2,B,41860
PN96_RS02355,1,A,41860
PN96_RS03565,2,B,41868
PN96_RS02915,2,A,41868
PN96_RS05720,2,B,41876
PN96_RS02355,1,A,41876
PN96_RS03565,2,B,41884
PN96_RS02915,2,A,41884
PN96_RS05720,2,B,41892
PN96_RS02355,1,D,41892
PN96_RS05720,2,A,41892
PN96_RS02355,1,C,41892
PN96_RS03565,2,B,41900
PN96_RS02915,2,A,41900
PN96_RS05720,2,B,41908
PN96_RS02355,1,A,41908
