locustag,Desc
PN96_RS22690,gbdR
PN96_RS22705,glk
PN96_RS22720,modF
PN96_RS22750,pcp
PN96_RS22760,trpB
PN96_RS22785,pcbD
PN96_RS22790,phhA
PN96_RS22795,aacS
PN96_RS22825,yiaY
PN96_RS22830,yliI
PN96_RS22840,dps
PN96_RS22845,mcp
PN96_RS22880,cspA
PN96_RS22940,coxC
PN96_RS22950,coxA
PN96_RS22955,coxB
PN96_RS22960,manB
PN96_RS22975,azlC
PN96_RS22980,azlD
PN96_RS23015,mepM
PN96_RS23040,mcp
PN96_RS23050,tyrP
PN96_RS23110,fdoG
PN96_RS23125,cusB
PN96_RS23130,cusA
PN96_RS23145,penP
PN96_RS23155,speG
PN96_RS23170,kefG
PN96_RS23175,kefB
PN96_RS23185,bglX
PN96_RS23195,amy
PN96_RS23200,yqhD
PN96_RS23215,gabT
PN96_RS23220,gabD
PN96_RS23255,nhaP
PN96_RS23260,alr
PN96_RS23265,dgcN
PN96_RS23270,ycjG
PN96_RS23275,dat
PN96_RS23290,nemA
PN96_RS23300,fdhA
PN96_RS23335,ppiC
PN96_RS23340,cheV
PN96_RS23345,hutZ
PN96_RS23380,nadD
PN96_RS23385,nadE
PN96_RS23415,dnaQ
PN96_RS23430,bac
PN96_RS23485,ethA
PN96_RS23505,pxpA
PN96_RS23535,tyrB
PN96_RS23635,malG
PN96_RS23640,malF
PN96_RS23645,malE
PN96_RS00040,pssA
PN96_RS00050,murB
PN96_RS00055,birA
PN96_RS00060,coaA
PN96_RS00085,tuf
PN96_RS00090,secE
PN96_RS00095,nusG
PN96_RS00120,rpoB
PN96_RS00125,rpoC
PN96_RS00130,rsd
PN96_RS00140,hemE
PN96_RS00160,tlyC
PN96_RS00165,hupA
PN96_RS00175,purD
PN96_RS00180,purH
PN96_RS00190,zntR
PN96_RS00195,cadC
PN96_RS00260,nhaP
PN96_RS00265,metH
PN96_RS00270,lysC
PN96_RS00280,agxT
PN96_RS00290,uvrA
PN96_RS00305,ssb
PN96_RS00310,csrD
PN96_RS00315,mshI
PN96_RS00320,mshJ
PN96_RS00325,mshK
PN96_RS00330,mshL
PN96_RS00335,mshM
PN96_RS00340,mshN
PN96_RS00345,mshE
PN96_RS00350,mshG
PN96_RS00355,mshF
PN96_RS00360,mshA
PN96_RS00370,mshC
PN96_RS00375,mshD
PN96_RS00380,mshO
PN96_RS00385,mshP
PN96_RS00390,mshQ
PN96_RS00395,mreB
PN96_RS00400,mreC
PN96_RS00405,mreD
PN96_RS00410,yhdE
PN96_RS00415,rng
PN96_RS00430,tldD
PN96_RS00440,hepA
PN96_RS00450,rluA
PN96_RS00455,hprA
PN96_RS00460,yjgA
PN96_RS00465,pmbA
PN96_RS00470,mgtE
PN96_RS00475,ptsO
PN96_RS00480,rapZ
PN96_RS00485,ptsN
PN96_RS00490,hpf
PN96_RS00495,rpoN
PN96_RS00500,lptB
PN96_RS00505,lptA
PN96_RS00510,lptC
PN96_RS00515,kdsD
PN96_RS00520,yrbG
PN96_RS00525,mlaF
PN96_RS00530,mlaE
PN96_RS00535,mlaD
PN96_RS00540,mlaC
PN96_RS00545,mlaB
PN96_RS00555,murA
PN96_RS00560,plsC
PN96_RS00565,ridA
PN96_RS00570,pyrI
PN96_RS00575,pyrB
PN96_RS00585,otc
PN96_RS00590,arcA
PN96_RS00595,rraB
PN96_RS00615,varS
PN96_RS00620,holC
PN96_RS00625,carP
PN96_RS00630,lptF
PN96_RS00635,lptG
PN96_RS00745,mcp
PN96_RS00785,mltC
PN96_RS00795,mutY
PN96_RS00800,trmB
PN96_RS00810,glsA
PN96_RS00820,rdgB
PN96_RS00835,yggT
PN96_RS00840,proC
PN96_RS00845,yggS
PN96_RS00850,pilT
PN96_RS00855,pilU
PN96_RS00860,ruvX
PN96_RS00865,algH
PN96_RS00875,gshB
PN96_RS00880,rsmE
PN96_RS00885,endA
PN96_RS00890,sprT
PN96_RS00900,metK
PN96_RS00915,epd
PN96_RS00920,pgk
PN96_RS00925,fba
PN96_RS00930,mscS
PN96_RS00935,lysE
PN96_RS00940,iciA
PN96_RS00950,serA
PN96_RS00955,rpiA
PN96_RS00960,mthfs
PN96_RS00970,zapA
PN96_RS00980,ubiH
PN96_RS00985,ubiI
PN96_RS01000,ygfZ
PN96_RS01005,cptB
PN96_RS01015,nadB
PN96_RS01020,rpoE
PN96_RS01025,rseA
PN96_RS01030,rseB
PN96_RS01035,rseC
PN96_RS01040,lepA
PN96_RS01045,lepB
PN96_RS01050,rnc
PN96_RS01055,era
PN96_RS01060,recO
PN96_RS01065,pdxJ
PN96_RS01070,acpS
PN96_RS01075,barA
PN96_RS01085,rumA
PN96_RS01090,relA
PN96_RS01095,mazG
PN96_RS01100,pyrG
PN96_RS01110,ftsB
PN96_RS01115,ispD
PN96_RS01120,ispF
PN96_RS01125,truD
PN96_RS01130,surE
PN96_RS01140,nlpD
PN96_RS01145,rpoS
PN96_RS01150,mutS
PN96_RS01155,pncC
PN96_RS01160,recA
PN96_RS01165,recX
PN96_RS01170,aarS
PN96_RS01175,lysC
PN96_RS01180,csrA
PN96_RS01235,oadG
PN96_RS01240,oadA
PN96_RS01245,madB
PN96_RS01250,qor
PN96_RS01260,pqqL
PN96_RS01265,gshA
PN96_RS01275,luxS
PN96_RS01280,tlyC
PN96_RS01300,rimM
PN96_RS01305,trmD
PN96_RS01320,zapD
PN96_RS01325,coaE
PN96_RS01330,pilD
PN96_RS01335,pilC
PN96_RS01340,pilB
PN96_RS01345,pilA
PN96_RS01350,nadC
PN96_RS01355,ampD
PN96_RS01360,pdhR
PN96_RS01365,aceE
PN96_RS01370,dlaT
PN96_RS01375,dld
PN96_RS01380,hapR
PN96_RS01385,hprT
PN96_RS01390,cynT
PN96_RS01410,panC
PN96_RS01415,panB
PN96_RS01420,folK
PN96_RS01425,pcnB
PN96_RS01430,gluQ
PN96_RS01435,dksA
PN96_RS01440,sfsA
PN96_RS01445,hrpB
PN96_RS01450,mrcB
PN96_RS01460,acnB
PN96_RS01465,glxK
PN96_RS01475,cdaR
PN96_RS01485,glnK
PN96_RS01490,amt
PN96_RS01495,afuA
PN96_RS01500,afuB
PN96_RS01505,afuC
PN96_RS01515,chbP
PN96_RS01520,hexA
PN96_RS01525,gspK
PN96_RS01535,ddpF
PN96_RS01540,ddpD
PN96_RS01560,chiS
PN96_RS01570,rsmC
PN96_RS01580,hemL
PN96_RS01585,erpA
PN96_RS01590,vexE
PN96_RS01595,vexF
PN96_RS01605,yarS
PN96_RS01615,dacB
PN96_RS01620,ompU
PN96_RS01625,greA
PN96_RS01630,yhbY
PN96_RS01635,rlmE
PN96_RS01640,ftsH
PN96_RS01645,folP
PN96_RS01650,glmM
PN96_RS01655,secG
PN96_RS01670,rimP
PN96_RS01675,nusA
PN96_RS01680,infB
PN96_RS01685,rbfA
PN96_RS01690,truB
PN96_RS01700,pnp
PN96_RS01705,nlpI
PN96_RS01710,dinF
PN96_RS01715,ubiV
PN96_RS01720,ubiU
PN96_RS01725,rocS
PN96_RS01730,ubiT
PN96_RS01735,yhbS
PN96_RS01740,holD
PN96_RS01745,rimI
PN96_RS01750,prfC
PN96_RS01760,tatD
PN96_RS01770,deoC
PN96_RS01775,deoA
PN96_RS01780,deoB
PN96_RS01785,deoD
PN96_RS01790,smp
PN96_RS01795,serB
PN96_RS01805,radA
PN96_RS01810,fusA
PN96_RS24120,flp
PN96_RS01835,cpaA
PN96_RS01845,cpaB
PN96_RS01850,cpaC
PN96_RS01875,cpaE
PN96_RS01880,cpaF
PN96_RS01885,tadB
PN96_RS01890,tadC
PN96_RS01900,gtrB
PN96_RS01930,chrA
PN96_RS01940,ebgR
PN96_RS01945,galR
PN96_RS01965,zntB
PN96_RS01970,glpA
PN96_RS01975,glpR
PN96_RS01980,glpK
PN96_RS01985,glpF
PN96_RS01990,glpT
PN96_RS02000,dapD
PN96_RS02030,recC
PN96_RS02040,recB
PN96_RS02045,recD
PN96_RS02050,argab
PN96_RS02060,mltA
PN96_RS02065,tcdA
PN96_RS02070,sufE
PN96_RS02080,csdA
PN96_RS02085,thiJ
PN96_RS02090,panE
PN96_RS02095,tsx
